cat,zzy_count2,zzy_count1,hu_count,sum
adult-and-pornography,11,17,7,35
auctions,296,277,115,688
business-and-economy,300,326,149,775
computer-information,137,160,78,375
content-delivery-network,10,8,13,31
cult-and-occult,0,0,1,1
dating,4,4,3,11
dead-sites,7,15,2,24
dynamically-content,23,33,16,72
educational-institution,126,128,68,322
entertainment-and-art,146,172,75,393
financial-service,23,30,6,59
gambling,7,13,5,25
game,80,82,35,197
government,38,55,19,112
healthy-and-medicine,8,10,6,24
image-and-video-search,2,3,1,6
internet-communication,28,30,19,77
internet-portal,852,779,393,2024
internet-security,5,7,1,13
job-search,17,10,3,30
kid,3,2,2,7
local-info,7,13,5,25
malware,9,8,5,22
media-streaming,117,116,48,281
military,0,2,0,2
motor-vehicle,42,43,17,102
music,13,12,7,32
news-and-media,80,86,33,199
online-advertisement,9,12,2,23
online-storage,8,14,1,23
parked-domain,44,51,30,125
pay2surf,1,1,1,3
peer2peer,1,2,0,3
personal-site-and-blog,237,232,110,579
questionable,3,5,1,9
real-estate,3,1,1,5
recreation-and-hobbies,1,1,2,4
religion,7,5,2,14
research-reference,69,108,44,221
search-engine,845,806,433,2084
shopping,17,26,14,57
social-networking,51,30,21,102
society,65,78,40,183
software-download,51,51,31,133
spam-url,10,14,9,33
sport,21,17,11,49
stock-and-tool,51,50,25,126
training-and-tool,27,21,15,63
translation,2,1,1,4
travel,32,41,13,86
unknown,1430,1579,828,3837
web-hosting,11,12,4,27
web-mail,8,3,6,17