Country,zzy_count_2,zzy_count_1,qhu_count,sum_count,,,
Peru,824225,832742,367546,1200288,,United States,369528
United States,797003,804810,369528,1174338,,Peru,367546
Philippines,728135,728347,349185,1077532,,Philippines,349185
Romania,295409,297573,135066,432639,,Romania,135066
Italy,290412,293590,128949,422539,,Italy,128949
"Bolivia, Plurinational State of",269248,272562,119344,391906,,"Bolivia, Plurinational State of",119344
Mexico,252663,255005,115394,370399,,Mexico,115394
France,221838,223208,103017,326225,,France,103017
Colombia,204212,206090,91230,297320,,Colombia,91230
Argentina,162706,163980,72357,236337,,Indonesia,73250
Spain,159042,161849,69429,231278,,Argentina,72357
Indonesia,152864,153975,73250,227225,,Spain,69429
India,141824,143919,66595,210514,,India,66595
"Venezuela, Bolivarian Republic of",140140,141882,60503,202385,,Russian Federation,60979
Russian Federation,131863,133425,60979,194404,,"Venezuela, Bolivarian Republic of",60503
Ecuador,131671,132835,58689,191524,,Ecuador,58689
Poland,114771,116007,52290,168297,,Poland,52290