time,zzy_count,zzy_count2,qhu_count,sum,16322439,Percent
0,246842,247181,116410,610433,7859680,0.07766639354
1,247532,243254,115465,606251,7859680,0.07713431081
2,228253,228366,112135,568754,7859680,0.07236350589
3,206127,212742,103203,522072,7859680,0.06642407833
4,191507,192529,96222,480258,7859680,0.06110401441
5,177713,176993,89944,444650,7859680,0.05657355007
6,178889,177856,93757,450502,7859680,0.05731810964
7,170583,174097,87937,432617,7859680,0.05504257171
8,205203,210930,100928,517061,7859680,0.06578652057
9,229966,227410,111315,568691,7859680,0.0723554903
10,239093,239263,114471,592827,7859680,0.07542635324
11,258513,258423,119857,636793,7859680,0.08102021965
12,273768,270767,122069,666604,7859680,0.08481312216
13,318636,305543,137523,761702,7859680,0.09691259695
14,363788,364621,153013,881422,7859680,0.1121447693
15,386233,376262,162474,924969,7859680,0.1176853256
16,389493,382693,163030,935216,7859680,0.1189890683
17,370593,370310,156299,897202,7859680,0.1141524846
18,354900,338979,149986,843865,7859680,0.1073663304
19,350234,336083,148651,834968,7859680,0.1062343505
20,371643,356273,153222,881138,7859680,0.1121086355
21,338402,338188,146885,823475,7859680,0.1047720772
22,301900,310149,136685,748734,7859680,0.095262657
23,281271,281479,129485,692235,7859680,0.0880741964